ERROR: logging before google.Init: I0820 22:07:47.644659      54 server.go:1471] Starting language server process with pid 98403
ERROR: logging before google.Init: I0820 22:07:47.645304      54 server.go:1523] Language server version: 1.1.16
ERROR: logging before google.Init: I0820 22:07:47.645312      54 server.go:575] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0820 22:07:47.646711      54 server.go:590] Language server listening on random port at 51361 for HTTPS (gRPC)
ERROR: logging before google.Init: I0820 22:07:47.646989      54 server.go:598] Language server listening on random port at 51362 for HTTP
ERROR: logging before google.Init: E0820 22:07:48.732598      85 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0820 22:07:48.733014      85 model_configs.go:62] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0820 22:07:48.733641      54 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0820 22:07:48.733841      54 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0820 22:07:48.733961      54 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0820 22:07:48.733988      54 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0820 22:07:48.734121      54 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0820 22:07:48.734150      54 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0820 22:07:48.734211      54 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0820 22:07:48.734234      54 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0820 22:07:48.734309      54 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
